Cooking Minutes, Dairy Free, Gluten Free, Instructions, Preparation Minutes, Price Per Serving, Ready In Minutes, Servings, Spoonacular Score, Title, Vegan, Vegetarian
30, true, true, "Put the chicken in a medium bowl. Mix in the lime juice, paprika, chilli powder and a grinding of black pepper (step 1), then leave to marinate for at least 15 mins, preferably a bit longer. Heat 1 tbsp of the oil in a large non-stick wok or saut pan. Tip in the cinnamon stick, cardamom pods, whole chilli and cumin seeds, and stir-fry briefly just to colour and release their fragrance (step 2). Stir in the onion, garlic and ginger and fry over a medium-high heat for 3-4 mins until the onion starts to turn brown. Add the remaining oil, then drop in the chicken and stir-fry for 2-3 mins or until it no longer looks raw. Mix the turmeric, cumin, ground coriander and garam masala together. Tip into the pan, lower the heat to medium and cook for 2 mins (step 3). Pour in the passata and 150ml water, then drop in the chunks of pepper. When starting to bubble, lower the heat and simmer for 15-20 mins or until the chicken is tender. Stir in the tomato, simmer for 2-3 mins, then add the spinach and turn it over in the pan to just wilt. Season with a little salt. If you want to thin down the sauce, splash in a little more water. Remove the cinnamon stick, chilli and cardamom pods, if you wish, before serving. Scatter with fresh coriander and serve with warm chapatis or basmati rice, if you like.", 25.0, 247.97, 55, 4, 97.0, "Healthier chicken balti", false, false
0, true, true, "Rinse quinoa and cook with 2/3 cup water on the stove according to package directions. Cool.Add kale and carrots to quinoa.Make dressing by combining shredded apple, lime zest and juice, salt, vinegar, sesame oil, oil and sugar in a jar and shaking vigorously.Chill salad and dressing for a minimum of 30 minutes. (Recipe creator suggests overnight.)Toss dressing with quinoa mixture, chopped apples and almonds.", 0, 169.79, 45, 6, 95.0, "Kale and Quinoa Salad with Apple Lime Vinaigrette", true, true
40, true, true, "To Make The Almond Topping:Stir all ingredients together until combined, mixing them together with your fingers if needed. Set aside.To Make The Berry Almond Crisp.Preheat oven to 350 degrees F. Prepare the almond topping (see above).Pour the berriesinto an 8 x 8-inch (or 9 x 9-inch) baking dish. Sprinkle evenly with cornstarch and lemon juice (and almond extract, if using), and toss until evenly combined. Sprinkle the oat crisp mixture evenly on top of the berries.Bake for 35-40 minutes, or until the topping is crisp and golden and the fruit is bubbling. Serve immediately. Or let the crisp cool to room temperature, then cover and refrigerate for up to 3 days.", 5.0, 118.77, 45, 8, 39.0, "Berry Almond Crisp", true, true
10, true, false, "In a mixing bowl, stir together the tuna, garlic, dill, breadcrumbs and egg until well-combined. Form into four patties. Heat the olive oil in a large skillet set over medium heat. Once the oil is hot, add the tuna cakes and cook for 4-5 minutes per side until golden brown.Serve immediately with salad.", 5.0, 44.45, 20, 4, 40.0, "Dill Garlic Tuna Cakes", false, false
360, true, false, "In a slow cooker place chicken breast, chopped celery, garlic, plum tomatoes, black pepper, fresh parsley and dill, lemon zest, and chicken broth.Cook on high for 5 hours or low for 8 hours.Add shredded zucchini, green onion, and orzo pasta and cook for one additional hour (on high).Remove chicken breast from slow cooker and shred.Place the chicken back in the slow cooker, add in lemon juice, stir, and ladle into bowls! ", 10.0, 140.38, 370, 8, 55.0, "Lemon Chicken Orzo Soup", false, false
65, false, false, "Preheat oven to 350° F. Butter a standard loaf pan or a 9\" round or square baking pan.Melt the butter and allow to cool.Meanwhile trim off the zucchini ends and thinly slice 6 or 7 rounds off the end for garnish. Coarsely grate the rest on the large holes of a box grater. Add it to the middle of a clean kitchen towel and gently ring out some (you don't need to get it all out) of the water.Into a large bowl sift both flours, cornmeal, baking powder, salt, and baking soda together.Whisk the eggs and buttermilk into the cooled butter then stir in the zucchini then the cheese.Add the zucchini mixture to the flour mixture and stir until just combined - the batter will be thick.Transfer to the prepared pan and smooth out the top. Arrange the zucchini slices over top.Bake until golden and a tester inserted into center comes out clean, 55-65 minutes for a loaf pan 40 - 50 minutes for a round or square pan.", 25.0, 416.92, 90, 1, 99.0, "Cheddar Zucchini Cornbread", false, true
0, false, false, "In a small saucepan, combine the water, butter, and sugar. Bring to a boil, stirring until the butter is completely melted. Remove from heat, add the flour, salt, and lemon zest and stir until combined. Place over medium heat and stir until dough becomes slightly dry and leaves a film on the bottom of the pan.Scoop the dough into the bowl of a stand mixer fitted with a paddle attachment and let cool for 5-7 minutes. Beat the mixture on low speed, allowing it to cool some more, for a few minutes. Add the eggs one at a time, beating after each addition. Let the dough rest for 1 hour.Pour the oil into a heavy bottomed saucepan and heat over medium high heat to 365 degrees F. Fry the beignets by the tablespoon a few at a time. Cook them for approximately 3 minutes on each side, or until golden and puffed.Remove the beignets and let drain on paper towels. Sprinkle with powdered sugar and serve immediately with strawberry sauce, if desired (recipe follows).Combine the strawberries and sugar in a saucepan over medium heat and stir until sugar is dissolved. Add the balsamic vinegar and vanilla extract. Let the mixture simmer for about 10 minutes, stirring occasionally, until sauce coats the back of a spoon with the consistency of maple syrup. Let cool. Serve warm or cold.", 0, 36.36, 45, 24, 14.0, "Lemon Beignets with Strawberry Sauce", false, true
15, true, false, "In a large bowl or bowl of a stand mixer, stir 1 cup flour, yeast and warm water until combined.In a separate bowl, stir together pumpkin puree, maple syrup, oil, salt, allspice, cinnamon, ginger and egg until combined.Add pumpkin mixture to flour mixture; stir to combine.Using a wooden spoon or dough hook attachment, stir in remaining flour 1 cup at a time until a dough forms. Knead by hand on a lightly floured surface 7-10 minutes until smooth and elastic, adding more flour as needed OR knead on medium speed with dough hook attachment 5-6 minutes until smooth and elastic, adding more flour as needed.Shape dough into a ball and place in a lightly greased bowl; turn to coat. Cover with plastic wrap and let rise 1 hour in a warm place until doubled.When dough is doubled, punch down and knead in cranberries and pecans. Divide dough into 16 equal pieces. On a lightly floured surface, roll out each piece of dough into a 12-inch log. Fold each log in half, then twist both ends once, pinching seams to seal. Place twists on 2 parchment paper-lined baking sheets.Cover baking sheets with tea towels or lightly greased plastic wrap. Let twists rise until puffy, about 45 minutes.Heat oven to 425 degrees F. Uncover twists; brush with beaten egg. Bake 15 minutes until golden brown and baked through. Cool slightly before serving.", 25.0, 45.59, 40, 16, 63.0, "pumpkin cranberry twists", false, true
15, false, false, "Mix the spices in a small bowl. Generously sprinkle and rub the spices on both sides of each burger patty. Grill each burger until cooked through (timing will depend on your grilling method and heat. I use an indoor electric grill that cook both sides at once, so it’s super fast).When burgers cooking, make the tzatziki sauce by placing all sauce ingredients in a food processor and blending gently (it only takes a few pulses – you don’t want the sauce to be soupy).When burgers are cooked, sprinkle each patty with feta cheese and allow cheese to melt slightly.Toast ciabatta rolls (I placed the rolls, cut-side-down, on the grill after taking the burgers off).Generously spread each side of a sliced ciabatta roll with tzatziki sauce and then top with burger, tomatoes, lettuce, and anything else you might enjoy!", 0.0, 483.61, 15, 4, 86.0, "Greek-Style Gourmet Burgers in 15 Minutes #15MinuteSuppers", false, false
0, true, true, "Add the wine, cider, brandy and simple syrup to a large pitcher. Stir to combine. Taste and adjust anything if need be to your own preferences (more simple syrup, more brandy, more cider, etc.). Add in the cinnamon sticks and apples and stir. Place the pitcher in the refrigerator and chill for several hours.", 10.0, 220.15, 10, 6, 22.0, "Honey Cinnamon Apple Cider Sangria", true, true
5, true, true, "Place garlic, salt, and lemon juice into a food processor; process until smooth. Pour in the garbanzo beans and cup olive oil; process until smooth again, scraping the sides of the bowl occasionally. Once smooth, add the sun-dried tomatoes, and pulse until they have been chopped to very small pieces and are incorporated into the hummus. Finally, add the basil, and pulse a few times until mixed in.Spread the hummus into a shallow serving dish, and make a few decorative grooves on top. Refrigerate at least 1 hour, then drizzle with 2 tablespoons olive oil and sprinkle with paprika before serving.", 10.0, 117.37, 15, 4, 94.0, "Sun Dried Tomato Hummus", true, true
0, false, true, "Procedures 1 Preheat the oven to 400 degrees Farenheit. In a large dutch oven, heat the oil over medium until shimmering. Add shallots and cook until soft, about 3 minutes, the add the garlic and cook for an additional minute. Add the rice and stir well to coat in the oil. Toast until opaque, about 3 minutes, then add the wine and allow it to absorb into the rice. 2 Add the squash, broth, and kale, and season to taste with salt and pepper. Bring to a boil, cover tightly, and transfer to the oven. Bake until the liquid is absorbed and the rice is tender, about 20 minutes. Serve with grated Parmesan.", 0, 312.62, 45, 4, 98.0, "Dinner Tonight: Butternut Squash Baked Risotto", false, false
30, false, false, "1. Place rack in middle-low position of your oven, making sure that there are no racks placed above it. Spray bundt pan generously with nonstick spray.2. Prepare dough: In a microwave-safe bowl, mix milk, water, melted butter, sugar and yeast. Place flour and salt in the bowl of a stand mixer. Use the dough hook attachment to mix them together. With machine on low, slowly add the milk mixture. When the dough begins to come together, increase speed to medium and continue to mix until the dough is shiny and smooth. If the dough is too wet and isn’t coming together, add 2 to 4 additional Tablespoons of flour (stop the machine once to scrape sides if you need to); this should take 6 to 7 minutes. Turn the dough onto a lightly floured surface and work with your hands a little bit to form a smooth, round ball. Coat a large bowl with nonstick spray. Place dough in the bowl and spray the top lightly with nonstick spray as well. Cover the bowl with a clean dish towel. Turn your oven on 400 degrees and let it warm up for 1 minute. Turn it OFF. Turn ON the oven light. Place your covered bowl of dough into the warmed oven until the dough doubles in size- 50 to 60 minutes.3. When dough is almost done rising, prepare the ooey gooey coating. In a medium bowl, whisk together brown sugar and cinnamon. In a separate bowl, melt the butter. Set aside.4. Form the bread balls: Remove dough from the bowl onto a lightly floured surface and gently pat into an 8-inch square. Using a sharp knife or bench scraper, cut the dough into 64 pieces (cut the square into 4 pieces and then cut each piece into 16 pieces). Roll each piece into a ball. Dip a ball in the melted butter, then roll in brown sugar mixture; place into the bundt pan. Continue with remaining 63 balls of dough, layering the balls as they accumulate in the bundt pan. If you have any melted butter left over, drizzle a couple of Tablespoons over the layered dough balls. Cover the bundt pan with a clean dish towel, and place back into the warmed oven to let the dough balls rise for another 50 to 60 minutes (they should get puffy and rise almost to the top of the pan.)5. Ready to bake: Remove the pan from the oven and preheat oven to 350 degrees F. Remove the dishtowel. Bake about 30 minutes, until the top has browned and ooey gooey caramel is bubbling around the edges. Cool in the pan for 2 to 3 minutes, then flip the bundt pan upside down onto a platter to remove the contents of the pan. Let sit on the platter for a few minutes to cool slightly before glazing.6. Prepare glaze: In the bowl of your stand mixer, use the whisk attachment to mix powdered sugar and milk. Continue to mix until lumps are gone (scrape sides of the mixing bowl, if needed). Spoon glaze over the top and sides of the monkey bread.7. Serve warm, allowing eaters to pull apart pieces of the bread and eat with their hands.", 50.0, 49.67, 80, 6, 46.0, "Monkey Bread", false, true
0, true, false, "Make the sunflower spread: Drain and rinse the sunflower seeds. In a blender, combine the sunflower seeds, water, vinegar, lemon juice, garlic, and salt and blend until smooth. Chill until ready to use.Preheat the oven to 400F and line 2 baking sheets with parchment paper. Place the sweet potato cubes on one and the baguette slices on the other, and drizzle both with olive oil. Sprinkle the sweet potatoes with pinches of salt and pepper and toss. Roast the sweet potatoes for 35 minutes, or until golden. Toast the baguette for 10 to 12 minutes until crisp. Remove the baguette slices from the oven and rub them with the cut side of clove of garlic while warm. Set aside.Assemble the crostini with a slather of the sunflower spread, some sweet potato cubes, a few pomegranate seeds, and a few cilantro leaves, if desired. Season to taste and finish with a drizzle of olive oil.note: ricotta cheese seasoned with salt and lemon zest can be used in place of the sunflower spread.", 0, 52.65, 45, 16, 80.0, "Sweet Potato Pomegranate Crostini", true, true
0, false, true, "Finely grate the zest of 2 oranges and 2 lemons. In a small bowl, stir together citrus zests, sugar, coriander, salt & pepper.Cut the oranges and lemons into 1/4-inch thick rounds, and put aside.Place salmon, skin side down, on a plate or non-reactive (glass or ceramic) baking dish. Rub spice blend over salmon. Cover with plastic wrap and refrigerate for 2 hours.Preheat oven to 400 degrees F. Remove salmon from refrigerator. Wipe off spice blend with paper towels. Arrange orange and lemon rounds in a single layer on a large baking sheet or roasting pan, and place salmon skin side down, on top. Rub the oil all over salmon. Roasted until opaque throughout, about 15 minutes.To serve, place a small coating on sauce on the plate, top with sliced salmon, and garnish with pea shoots and sliced lemon.In a medium to large bowl, prepare an ice-water bath, and set aside.Bring a pot of water to a boil. Blanch peas and pea shoot until bright green, about 1 minute. Using a slotted spoon, immediate transfer to the ice bath (this will immediately stop the cooking process, and help the vegetables retain their vibrant green color).Drain the peas and pea shoot, and add to the food processor or blender. Puree until smooth, adding 1-3 tablespoons of water, if necessary, to thin the mixture (the mixture should coat the back of a spoon). Place puree in a small saucepan, over low heat, and whisk in butter, one piece at a time. Whisk until emulsified and remove from heat. Season sauce with salt, to taste. Serve warm.", 0, 1010.92, 45, 4, 95.0, "Citrus Roasted Salmon with Spring Pea Sauce", false, false
25, true, true, "In a medium saucepan over medium heat, heat oil and add all turkey ingredients and mix until well combined (leaving 1 teaspoon of minced ginger aside for the dressing). Cook for about 3 to 5 minutes, until the turkey is browned and no pink remains. Taste and adjust salt and pepper as needed.In a small saucepan add in the leftover ginger and the rest of the sauce ingredients. Bring to a boil over medium heat. Lower heat and let simmer for 1-2 minutes until it reduces slightly. Pour into a bowl and set aside for later use.Pulse cauliflower florets in your food processor until it reaches a rice consistency and add salt. Saut in a skillet for 2-3 minutes to slightly soften. Set aside.Heat a separate saute pan with oil and add in diced onion, sliced red peppers and green beans. Cook until onion becomes translucent and veggies begin to soften. Add in spinach, box choy, salt and pepper. Cook until wilted. Remove from heat and set aside to cool.Place cauliflower into bowls or glass tupperware containers. Add veggies and turkey. Pour sauce on top and serve!", 10.0, 499.99, 35, 4, 98.0, "30-Minute Thai Basil Turkey Bowls", false, false
80, true, true, "Calienta el horno a 300 ºF [150 ºC]Unta un molde antiadherente de 9 x 9 x 3 pulgadas [22.5 x 22.5 x 7.5 cm] con un poco del aceite.Prueba el caldo de vegetales, y agrega sal al gusto (solo si es necesario). Mezcla con el harina de maíz y deja reposar por una hora.Agrégale el maíz, cebolla, espinacas y berza, huevos, y el aceite restante. Mezcla bien.Vierte la mezcla en el molde y cubre con papel de aluminio. Pincha el papel de aluminio tres veces con un tenedor.Lleva al horno por 40 minutos, o hasta que insertes un palillo en el centro y salga limpio.Retira del horno y deja enfriar a temperatura ambiente antes de sacar del molde.Calienta el aceite de oliva a temperatura muy baja.Agrega el ajo y cuece por unos 3 a 4 minutos, remueve y cuida de que no se queme.Agrega los tomates y cuece hasta que estén blandos.Agrega las hojas de orégano.Sazona con sal y pimienta al gusto.Vierte en una salsera.", 10.0, 3.98, 90, 6, 31.0, "Arepa salada de espinaca, berza y maíz dulce", true, true
22, false, false, "Preheat the broiler. Bring the cauliflower and milk to a boil in a large saucepan. Reduce the heat to medium, cover and simmer, stirring occasionally, until tender, about 8 minutes. Transfer to a blender and puree until smooth; return to the saucepan and stir in 1 1/4 cups cheddar and the parmesan. Meanwhile, grate the tomato into a bowl and stir in the barbecue sauce. Season the chicken with 1/4 teaspoon salt; set on a baking sheet and broil until golden, about 7 minutes. Flip the chicken, brush with the barbecue sauce mixture and continue broiling, basting with the pan juices occasionally, until cooked through, 6 to 7 more minutes. Meanwhile, bring a medium saucepan of lightly salted water to a boil. Add the pasta and cook as the label directs; reserve 1/2 cup cooking water, then drain. Add the pasta to the cauliflower mixture along with a splash of the reserved cooking water. Cook over low heat, stirring, until the pasta is coated. Top the mac and cheese with the remaining 1/4 cup cheddar; serve with the chicken. Photograph by Justin Walker", 18.0, 321.61, 40, 3, 95.0, "Barbecue Chicken with Mac and Cheese", false, false
40, true, true, "Preheat the oven to 375 degrees F. Wash the fingerling potatoes and pat them dry.Add the oil to a cast iron (or oven-safe skillet). Add the fingerling potatoes and shake them around in the skillet until theyre coated with oil.Sprinkle the Italian seasoning, rosemary, and salt over the potatoes and shake the skillet around some more to distribute the seasoning.Roast in the oven for 30 to 40 minutes (depending on the size of your fingerling potatoes), or until potatoes are browned on the outside and soft when poked. Note: My potatoes took a full 40 minutes.", 5.0, 116.75, 45, 4, 94.0, "Rosemary Roasted Fingerling Potatoes", true, true
0, false, true, "Put the butter and peanut butter in a medium to large bowl. Cover with a paper plate. Plastic wrap may alternatively be used, however, I wasn’t so sure about plastic in the microwave. Microwave on high for 2 minutes. Stir before microwaving on high for two more minutes. The mixture will be bubbling and incredibly hot, so use caution. Stir briefly before adding vanilla and confectioners’ sugar. Stir with a large spoon to incorporate all of the ingredients. The mixture will become difficult to stir and will lose its sheen. Once this has happened, scoop the mixture into a square 8 inch pan lined with parchment paper with a large overhang. Spread the mixture as evenly as possible in the pan. Fold excess parchment over the top of the fudge to cover it. Refrigerate until completely cooled, about 2 hours. Cut into 64 1 inch pieces, 8 cuts across the top, 8 cuts down the side. Fudge may be stored in an airtight container at room temperature for up to one week. Alternatively, fudge freezes incredibly well. To do so, wrap it in parchment and foil, place it in a freezer bag, and thaw at room temperature for several hours before enjoying.", 10.0, 7.21, 10, 64, 4.0, "Microwave Peanut Butter Fudge", false, true
0, true, true, "In a large bowl, combine all the ingredients. Refrigerate for an hour to let the flavors mingle. Serve with chips and enjoy!", 15.0, 57.43, 15, 4, 51.0, "Watermelon Peach Salsa", true, true
0, false, false, "Whisk pudding with whipping cream and milk for 2 minutes or until smooth. Stir in vanilla bean paste. Let sit for 5 minutes.Spread pudding into the bottom of prepared pie crust. Chill for at least 4 hours before serving.Note on brulee: its best to brle slices instead of the entire pie. Its harder to slice once it has the brle on top and it must be eaten immediately. Unless you plan to serve the entire pie immediately, slice, then continue.Sprinkle each slice with sugar and use a kitchen torch to brle the top.Alternate brle no-torch no-oven method: Add 1/4 cup granulated sugar to a small saucepan. Place over low heat and do not touch it, but watch it closely. Once it starts to turn to liquid, stir with a wooden spoon, being careful not to get it on the sides of the pan, until the sugar turns to crystals then to liquid again, and turns a light amber color. Drizzle some onto each slice of pie. Note: this sugar hardens more than it does with the torch. Err on the light side of adding it to the top and be cautious eating it.", 0, 29.54, 15, 10, 13.0, "No Bake Creme Brulee Pie", false, true
15, true, true, "InstructionsHeat the cooking oil in a frying pan or wok.Saute the shallots or onion until a bit softened.Add the garlic, ginger and chilis. Add a dash of patis. Add some pepper. Saute for a minute or so until very aromatic.Throw in the kai-lan stalks. Season with a bit more patis. Pour in half of the coconut milk. Stir. Bring to a simmer, lower the heat, cover and simmer for about five minutes.Add the kai-lan leaves and pour in the rest of the coconut milk. Taste, adjust the seasonings, as needed, bring to a simmer, cover and cook over low heat for another five to seven minutes until the kai-lan is done and the coconut milk has reduced a bit.Adjust the seasonings one last time. Add the lechon kawali, stir, heat through and serve at once.", 10.0, 467.88, 25, 2, 65.0, "Lechon kawali and kai-lan (Chinese broccoli) in coconut milk", false, false
